conm,fyear,at,roe,return
ZINC OF IRELAND NL,2013,3.683,-1.620924943,-0.9375
SALT LAKE POTASH LTD,2008,23.666,-0.522410935,-0.936842105
CALIMA ENERGY LTD,2019,69.524,-0.026874104,-0.936170213
VIRIDIS CLEAN ENERGY,2010,139.639,-1.942853006,-0.936
JAVELIN MINERALS LIMITED,2015,0.943,,-0.9353125
ELIXINOL WELLNESS LTD,2019,121.069,-0.516202361,-0.935022026
CYCLIQ GROUP LIMITED,2014,1.099,,-0.934210526
BCD RESOURCES NL,2011,60.321,-0.529961533,-0.933333333
HIGH GRADE METALS LTD,2013,1.435,-3.74379012,-0.933333333
ATLAS IRON LTD,2015,775.46,-1.510597402,-0.933333333
OPEN TELECOMMUNICATIONS LTD,2001,51.907,-0.893761245,-0.933240612
CUFE LTD,2008,5.91,-1.184908658,-0.932824427
HASTIE GROUP LTD,2011,965.701,-0.265687725,-0.93279746
METALICITY LTD,2008,7.565,-1.435784852,-0.932030402
LIVETILES LTD,2001,11.95,,-0.931818182
LATIN RESOURCES LTD,2019,12.717,-17.69648562,-0.93145
BOS GLOBAL HOLDINGS NL,2002,34.047,-4.648156336,-0.93125
SIERRA RUTILE HOLDINGS LTD,2008,184.739,-0.714880663,-0.929906542
COMPASS HOTEL GROUP LTD,2009,127.538,-1.448590012,-0.929824561
STAGING CONNECTIONS GP LTD,2008,253.791,-0.043772953,-0.929328622
INTIGER GROUP LTD,2019,0.842,-3.235294118,-0.928571429
MINBOS RESOURCES LTD,2013,15.656,-0.516518833,-0.928205128
TIVAN LTD,2008,22.607,-0.116863691,-0.928121461
NEON CAPITAL LTD,2002,19.767,-1.132850758,-0.927350427
FIRST GRAPHENE LTD,2009,3.76,-1.401044438,-0.927295919
MOD RESOURCES LTD,2018,50.626,-0.138790818,-0.926545455
CREAT RESOURCES HOLDINGS LTD,2008,9.623,-2.097296788,-0.925423729
BROOKSIDE ENERGY LTD,2015,1.929,-3.640942323,-0.925
METALICITY LTD,2012,1.05,,-0.924963337
DISCOVERY METAL LTD,2013,254.214,-1.46583924,-0.924806202
ASSOCIATE GLOBAL PARTNERS,2011,4.103,-1.431382194,-0.924242424
PERILYA LTD,2008,307.734,-0.958330386,-0.924235877
RED MOUNTAIN MINING LTD,2013,17.945,-0.398090376,-0.923343409
CLEVELAND MINING CO LTD,2011,10.236,-0.584531831,-0.922923077
AUSGOLD LTD,2013,38.206,-0.215748523,-0.921428571
ARIZONA LITHIUM LIMITED,2013,4.05,-2.00491176,-0.921348315
PROTEAN ENERGY LTD,2017,4.49,-1.237896203,-0.919666667
TANAMI GOLD NL,2013,94.738,-0.858494902,-0.919117401
HIGH GRADE METALS LTD,2017,1.025,-3.93982808,-0.919056429
BPH GLOBAL LTD,2016,4.881,-16.54727062,-0.91875
PACIFIC DAIRIES LTD,2014,2.633,-0.206883959,-0.918367347
LIVETILES LTD,2007,0.967,-0.066984654,-0.917857143
AXP ENERGY LIMITED,2015,15.737,-1.559543748,-0.917835222
SI6 METALS LIMITED,2013,7.456,-0.214896215,-0.917817084
AUSCANN GROUP HOLDINGS LTD,2009,37.42,-1.623161536,-0.916666667
ENRG ELEMENTS LTD,2015,0.38,-2.515560166,-0.916666667
PROVARIS ENERGY LTD,2016,4.661,-1.22117848,-0.916666667
EXCITE TECHNOLOGY SERVICES,2019,1.159,-8.45858762,-0.916640119
FIELD SOLUTIONS HOLDINGS LTD,2009,4.17,-1.450388204,-0.916174466
AURIS MINERALS LTD,2015,39.64,-1.735646036,-0.916129032
TIMBERCORP LTD,2008,1729.408,0.082056612,-0.916108929
HYTERRA LTD,2007,4.931,-0.962950139,-0.915384615
JABIRU METALS LTD,2001,3.994,-0.473163842,-0.915277778
VIDELLI LTD,2008,188.877,-2.431152999,-0.914285714
INTELLIGENT MONITORING GROUP,2021,35.061,,-0.913793103
PLUS CONNECT LTD,2009,1.158,-2.755049197,-0.912816868
HARANGA RESOURCES LTD,2014,25.756,-0.078800375,-0.9125
DOMINION MINERALS LIMITED,2018,2.777,-2.601139601,-0.9125
BROAD INVESTMENTS,2004,1.663,,-0.911764706
PROPERTY CONNECT HOLDINGS,2004,11.677,-1.201801201,-0.911111111
MARETERRAM LTD,2013,1.615,-1.70963365,-0.91
LINC ENERGY LTD,2015,811.309,-1.781529203,-0.909734513
CASSIUS MINING LTD,2012,9.029,-1.801354852,-0.909090909
NEOMETALS LTD,2013,68.162,-0.991765255,-0.909090909
INVIGOR GROUP LTD,2012,16.241,-0.352011923,-0.908695652
RIVERCITY MOTORWAY MGMT,2010,456.923,,-0.90625
88 ENERGY LTD,2008,2.556,-0.65244709,-0.906129326
MINARA RESOURCES LTD,2008,1014.17,-0.027514461,-0.906128501
AMANI GOLD LTD,2008,4.659,-0.705706235,-0.904761905
CONNECTED IO LTD,2011,3.71,-5.087407407,-0.904761905
RESOURCE DEVELOPMENT GP-OLD,2015,72.613,1.176846457,-0.904347826
STONEHORSE ENERGY LTD,2019,0.166,,-0.903826923
APEX MINERALS NL,2012,71.654,-1.443668824,-0.903666667
GREAT SOUTHERN LTD,2008,1790.121,-0.088810736,-0.9034375
BLUE STAR HELIUM LTD,2007,18.482,-2.50559614,-0.903311258
INTEGRATED GREEN ENERGY SOLU,2006,5.113,-0.479341788,-0.902702703
BLACKTHORN RESOURCES LTD,2008,136.46,-0.063492275,-0.902439024
ANIMOCA BRANDS CORP LTD,2013,4.077,-0.519183519,-0.90069808
JV GLOBAL LTD,2009,1.812,-4.688077077,-0.9
HEALTHLINX LTD,2012,3.349,-0.800325336,-0.9
MEDADVISOR LTD,2013,11.906,-0.539524838,-0.9
HORSESHOE METALS LTD,2013,6.978,-1.365182186,-0.9
TRIANGLE ENERGY (GLOBAL) LTD,2014,2.803,-2.180754226,-0.9
COALSPUR MINES LTD,2014,71.481,-3.622597693,-0.9
EUROPA METALS LTD,2019,2.799,-0.921240131,-0.9
LUCAPA DIAMOND CO LTD,2008,5.899,0.244296578,-0.899934768
KALNORTH GOLD MINES LTD,2013,22.481,-1.576541504,-0.898305085
NEW TEL LTD,2001,97.788,-0.709321952,-0.898203593
LAND AND HOMES GROUP LTD,2010,32.69,-0.904534871,-0.89725
TERRAMIN AUSTRALIA LTD,2012,83.008,-2.341464291,-0.896756644
LANTHANEIN RESOURCES LIMITED,2013,3.732,-0.590872046,-0.896607431
PILOT ENERGY LTD,2012,2.614,-1.813862094,-0.896551724
RAGUSA MINERALS LTD,2015,75.968,-0.427291523,-0.896176219
HEXAGON ENERGY MATERIALS LTD,2010,2.864,-3.155707763,-0.895820552
HAWTHORN RESOURCES LTD,2001,6.246,,-0.895
BLACKWOOD CORP LTD,2008,19.287,-1.727467704,-0.894736842
PILOT ENERGY LTD,2008,2.564,,-0.894736842
PURSUIT MINERALS LTD,2015,18.94,-5.971369742,-0.894736842
REDFLOW LTD,2012,8.332,-1.90754386,-0.893895349
RESA GROUP LTD,2010,46.673,-1.758299403,-0.893847567
ZIPTEL LTD,2017,1.287,-0.841968912,-0.89375
XREALITY GROUP LIMITED,2019,37.682,-0.13957976,-0.89306
BELLEVUE GOLD LTD,2012,15.289,-0.5016355,-0.892945699
ZELIRA THERAPEUTICS LTD,2009,3.547,-10.79680426,-0.892857143
SENETAS CORP,2001,57.185,-0.516686924,-0.892473118
CRITICAL RESOURCES LTD,2018,1.043,-1.931618365,-0.892473118
REDHILL EDUCATION LTD,2011,24.596,-0.224651025,-0.891666667
LINIUS TECHNOLOGIES LTD,2013,1.52,-0.73528166,-0.891666667
GOLDOZ LTD,2018,14.977,-1.085131148,-0.891566265
ANSILA ENERGY NL,2015,9.75,-0.663971662,-0.891089109
BABYLON PUMP & POWER LTD,2008,2.646,-2.182834331,-0.890909091
ADMIRALTY RESOURCES NL,2008,87.579,-0.84930832,-0.890526316
SURFSTITCH GROUP,2016,97.247,-1.660834094,-0.889570552
MAXSEC GROUP LTD,2008,4.049,-1.880244455,-0.88942237
CEC GROUP LTD,2008,243.004,-0.313104909,-0.889228419
RETAIL FOOD GROUP LTD,2018,600.51,-0.984233295,-0.889018692
JAMESON RESOURCES LTD,2010,1.767,-1.533561731,-0.888888889
CROWDSPARK LTD,2012,1.334,-2.632749326,-0.888888889
BLACK ROCK MINING LTD,2012,9.996,-0.831673223,-0.888888889
NEW WORLD RESOURCES LTD,2012,17.057,-0.093966059,-0.888888889
VONEX LTD,2014,65.774,-0.030490608,-0.888888889
VIRIDIS MINING AND MINERALS,2015,4.01,,-0.888888889
PHARMAXIS LTD,2013,112.28,-0.490011143,-0.887931034
CONNECTED IO LTD,2018,3.52,-2.73847832,-0.887725632
MARETERRAM LTD,2008,27.437,-1.121287129,-0.887640449
UECOMM LTD,2001,159.433,-0.376413984,-0.887387387
CLARITY OSS LTD,2002,130.193,-1.847039527,-0.887323944
LIONHUB GROUP LTD,2018,7.309,-1.061236035,-0.887323944
ROLEK RESOURCES LTD,2012,37.184,-0.780992403,-0.887221429
ALCHEMIA LTD - OLD,2015,14.632,-0.772374802,-0.887218045
DIGITAL X LTD,2008,2.03,-1.294639175,-0.886363636
FIRST LITHIUM LIMITED,2021,1.562,-0.979262673,-0.886363636
RESPIRI LTD,2014,10.604,-1.927282924,-0.88590604
PANCONTINENTAL ENERGY NL,2015,14.881,-1.211671441,-0.885714286
BLUESTONE GLOBAL LTD,2012,115.227,-0.883713395,-0.885106383
ELMORE LTD,2006,0.242,,-0.884615385
DESTRA CORP LTD,2008,88.926,-0.573133254,-0.884615385
LOTUS RESOURCES LTD,2015,7.477,-0.876706131,-0.884615385
OPYL LTD,2016,2.44,-3.431875882,-0.884615385
ODESSA MINERALS LIMITED,2019,5.336,-0.833668758,-0.884615385
SOUTH AMERICAN IRON & STEEL,2009,15.448,-0.478748725,-0.883870968
INVITROCUE LTD,2004,34.527,,-0.882352941
SOMNOMED LTD,2006,4.069,-0.802683277,-0.882352941
AUSTRALIAN AGRICULTURAL PROJ,2008,22.934,-0.882417473,-0.882352941
GLOBAL TELEVISION LTD,2002,154.669,-1.150689083,-0.881481481
NEUROTECH INTERNATIONAL LTD,2019,0.653,-2.120556414,-0.881477037
HAMMER METALS LIMITED,2013,14.31,-0.118799055,-0.880952381
AUTECO MINERALS LTD,2008,27.297,-0.097702259,-0.880503145
FRONTIER ENERGY LIMITED,2016,1.544,-0.318135765,-0.880136364
TITANIUM SANDS LTD,2001,24.111,-0.232381371,-0.880077369
EQUUS MINING LTD,2001,11.881,-1.342385206,-0.88
MULTISTACK INTL,2009,5.409,-0.068125662,-0.88
ADVANCE METALS LIMITED,2013,1.148,-0.756106195,-0.88
NEW STANDARD ENERGY LIMITED,2015,7.676,-0.750409437,-0.88
REGIS RESOURCES LTD,2008,119.959,-0.022339766,-0.87994508
RIEDEL RESOURCES LTD,2013,9.183,-0.449859801,-0.878787879
INTERNATIONAL FERRO METALS,2015,1124.089,-1.908814087,-0.878213802
BOART LONGYEAR GROUP LTD,2017,673.129,,-0.87804878
AMBITION GROUP LTD,2008,31.603,-1.407430785,-0.877688172
EML PAYMENTS LTD,2012,16.855,-1.055973882,-0.877546182
BEONIC LIMITED,2007,55.478,-2.919405673,-0.8775
ADELPHI ENERGY LTD,2001,15.841,-1.212008074,-0.877272727
IMEXHS LTD,2006,35.064,-0.604510559,-0.877192982
POLARX LTD,2014,0.831,-1.476108692,-0.87654321
ARTURUS CAPITAL LTD,2008,56.034,,-0.876404494
Q LTD,2009,40.365,0.014181262,-0.875958164
4DS MEMORY LTD,2014,3.848,-0.647386286,-0.875561555
BROAD INVESTMENTS,2008,8.61,-0.832921648,-0.875
HIGHCOM LIMITED,2008,4.842,-0.542829173,-0.875
UXA RESOURCES LTD,2012,8.002,-1.48809847,-0.875
RENEGADE EXPLORATION LTD,2012,34.048,-0.052793779,-0.875
NIUMINCO GROUP LTD,2014,8.88,-0.770980734,-0.875
PROMINENCE ENERGY LTD,2015,15.577,-1.913821766,-0.875
VANGO MINING LTD,2015,8.558,-0.428879642,-0.875
AUSTRALIA UNITED MINING LTD,2015,18.319,-0.21174718,-0.875
AUSTPAC RESOURCES NL,2018,2.616,-1.938676359,-0.875
ALCYONE RESOURCES LTD,2013,32.585,-0.601390901,-0.874123077
APEX MINERALS NL,2009,161.311,-2.698343769,-0.873809524
MACH7 TECHNOLOGIES LTD,2008,5.932,-0.817920948,-0.873529412
WAMEJA LTD,2015,77.823,-0.744375436,-0.873469388
NTM GOLD LTD,2011,8.863,-0.532686803,-0.873417722
ASTUTE METALS NL,2015,2.431,-2.116433309,-0.873218305
NEON CAPITAL LTD,2013,44.697,-1.743794197,-0.872727273
HIRO BRANDS LIMITED,2019,14.214,-1.702300931,-0.872727273
RIDDOCK INTERNATIONAL LTD,2001,10.591,-0.321838129,-0.8725
SLATER & GORDON LTD,2016,1734.031,-1.169748166,-0.87244898
TANAMI GOLD NL,2008,41.14,-1.199911625,-0.872205128
ADAVALE RESOURCES LTD,2008,8.768,-0.12157312,-0.871794872
SOMERTON ENERGY LTD,2009,0.204,,-0.871794872
AFRICAN PETROLEUM CORP LTD,2015,52.623,-0.154053773,-0.8716
CAPRICORN METALS LTD,2011,8.455,-0.268573931,-0.87139076
ATC ALLOYS LTD,2015,12.384,-1.716231854,-0.870967742
INVENTIS LTD,2012,15.968,-1.756182213,-0.87065053
SUNSTONE METALS LTD,2013,39.298,-0.211024964,-0.870333333
E-PAY ASIA LTD,2007,32.882,0.018507704,-0.86984127
CLARA RESOURCES AUSTRALIA,2019,13.263,-0.56019628,-0.869565217
VMOTO LTD,2011,19.459,-0.277142768,-0.869230769
CELSIUS RESOURCES LTD,2019,22.487,-0.04416132,-0.869230769
MOD RESOURCES LTD,2004,3.141,-1.643749167,-0.869169796
EDU HOLDINGS LIMITED,2015,1.175,,-0.8690567
WIA GOLD LIMITED,2017,6.564,-0.387501938,-0.869047619
LITHIUM UNIVERSE LIMITED,2014,2.141,-5.455231388,-0.868686869
SECURENET LTD,2001,166.676,0.019772499,-0.86856398
PLANTIC TECHNOLOGIES LTD,2008,45.343,-0.213582971,-0.868421053
CBH RESOURCES LTD,2008,506.522,-0.169764216,-0.867924528
AFT CORP LTD,2001,17.269,-1.594557721,-0.867412249
TRIANGLE ENERGY (GLOBAL) LTD,2012,9.193,-0.88429034,-0.866666667
TITAN MINERALS LTD - OLD,2013,19.567,-0.372055074,-0.866666667
CENTAURUS METALS LTD,2014,7.527,-1.12989468,-0.866666667
CATALINA RESOURCES LTD,2015,5.458,-1.750245499,-0.866666667
VECTOR RESOURCES LTD,2016,0.218,,-0.866666667
JAYEX TECHNOLOGY LTD,2016,12.525,-0.472316806,-0.866666667
CANN GLOBAL LTD,2020,16.548,-1.081679492,-0.866666667
E3SIXTY LTD,2001,5.806,-0.042145594,-0.865
ZIPTEL LTD,2016,1.641,-4.07860262,-0.864978903
ANTERIS TECHNOLOGIES LTD,2018,31.86,-1.375887734,-0.864516129
SPARTAN RESOURCES LIMITED,2019,226.242,-1.259540189,-0.864344825
AUSTRALIAN SILICA QUARTZ GRP,2010,67.565,-0.420388211,-0.864341085
NEW WORLD RESOURCES LTD,2008,18.834,-1.280895078,-0.863636364
TARUGA MINERALS LTD,2013,9.6,-0.034600234,-0.863636364
CARBON ENERGY LTD,2017,15.801,-2.140951655,-0.863333333
CURNAMONA ENERGY LTD,2008,12.962,-0.243334744,-0.863247863
UNITY MINING LTD,2014,65.765,-0.791150973,-0.863013699
TIGER RESOURCES LTD,2014,401.758,0.02311234,-0.863013699
POLYNOVO LTD,2007,22.017,-0.615663674,-0.862790698
RESAPP HEALTH LTD,2017,11.988,-0.732442692,-0.862422998
THRED LTD,2012,8.174,-0.592682246,-0.862385321
NRW HOLDINGS LTD,2015,369.189,-0.918615573,-0.862283443
BRIGHTSTAR RESOURCES LTD,2011,31.335,-0.912246658,-0.862068966
MANTLE MINERALS LIMITED,2013,0.978,-0.157868772,-0.862068966
AF LEGAL GROUP LTD,2011,76.566,0.069805306,-0.8617113
TAKORADI LTD,2008,17.866,-0.483343026,-0.861538462
TRIVARX LIMITED,2018,19.064,-1.194095454,-0.861363636
TOMIZONE LTD,2004,18.14,-0.164705882,-0.860777529
BCI MINERALS LTD,2015,257.278,-0.803631321,-0.860681115
COPPER STRIKE LTD,2010,19.424,-0.065656703,-0.860465116
EMPEROR ENERGY LTD,2016,4.653,-0.506635274,-0.860285132
DE GREY MINING LTD,2013,0.374,-3.198818067,-0.860237154
VANGO MINING LTD,2008,18.366,-0.737085338,-0.860194175
WESTSTAR INDUSTRIAL LTD,2008,2.472,-1.922224957,-0.86
EXPLAURUM LTD,2012,5.285,-0.295198277,-0.86
ONTERRAN LTD,2010,126.229,-0.711105893,-0.859813084
FIREFINCH LTD,2012,7.32,-0.465609092,-0.859649123
VIRGIN AUSTRALIA HLDGS LTD,2008,3337.9,0.117090125,-0.859200271
CONDOR BLANCO MINES LTD,2013,9.943,-0.292130591,-0.858974359
SALT LAKE POTASH LTD,2014,1.241,-0.404628787,-0.858910891
KIP MCGRATH EDUCATION CENTRE,2011,11.503,-0.127516276,-0.858789286
QUAY MAGNESIUM LTD,2008,28.964,-0.357941993,-0.858586667
DOMINION MINERALS LIMITED,2015,15.206,-0.743349346,-0.858126195
KIP MCGRATH EDUCATION CENTRE,2008,13.183,-0.642975564,-0.858043117
XCEED RESOURCES LTD,2001,12.839,-4.057494399,-0.857894737
SERPENTINE TECHNOLOGIES LTD,2017,0.719,-0.610430522,-0.857474306
WOLLONGONG COAL LTD,2013,930.643,-0.197914286,-0.857454118
TOX FREE SOLUTIONS LTD,2003,11.651,-0.502822982,-0.857142857
INVIGOR GROUP LTD,2010,10.608,,-0.857142857
ASRA MINERALS LIMITED,2011,12.216,-0.38010582,-0.857142857
METAL STORM LTD,2011,1.08,,-0.857142857
MISSION NEWENERGY LTD,2013,20.105,,-0.857142857
METALS AUSTRALIA LTD,2015,6.164,-0.101731422,-0.857142857
ARDENT LEISURE GROUP LTD,2019,705.323,-0.145353465,-0.856145005
BENITEC BIOPHARMA LTD,2006,2.285,-0.0396119,-0.855555556
ALDERAN RESOURCES,2019,10.629,-0.468149646,-0.855384615
HANSEN TECHNOLOGIES LTD,2002,55.312,-1.093871723,-0.855126542
WIA GOLD LIMITED,2013,2.146,-1.200728597,-0.85483871
CROWDSPARK LTD,2008,1.521,-1.625796178,-0.854545455
MIDDLE ISLAND RESOURCES LTD,2014,4.74,-0.630306604,-0.854545455
APOLLO MINERALS LTD,2019,2.354,-1.356679637,-0.853531818
LATAM AUTOS LTD,2019,29.895,-0.648899843,-0.853018182
ASTON MINERALS LIMITED,2013,9.408,-0.131758389,-0.852941176
HERON RESOURCES LTD,2020,209.2,-2.539024995,-0.851926316
CORELLA RESOURCES LIMITED,2008,4.856,-0.226995403,-0.851851852
CRATER GOLD MINING LTD,2012,24.767,-0.143634841,-0.851851852
BLUESTONE GLOBAL LTD,2013,63.264,-5.6806575,-0.851851852
KALGOORLIE MINING CO LTD,2004,4.765,-1.357871397,-0.851190476
FLUENCE CORPORATION LTD,2013,29.015,,-0.85106383
ESTRELLA RESOURCES LTD,2015,0.419,-2.682008368,-0.85106383
CHARIOT LTD,2006,27.186,-1.31818964,-0.850909091
RUBICOR GROUP LTD,2008,210.6,0.03215778,-0.850840337
ISOFT GROUP LTD,2010,757.526,-0.760407893,-0.850299401
CROWDSPARK LTD,2016,12.069,-1.665971622,-0.850208044
ASTUTE METALS NL,2001,12.269,-2.416172107,-0.85
ENGIN LTD,2008,18.12,-0.873322328,-0.85
AUTODOM LTD,2008,58.363,-0.508580565,-0.85
NT MINERALS LTD,2008,9.773,-1.806707649,-0.85
AXIOM MINING LTD,2008,2.011,-1.697163668,-0.85
SWIFT NETWORKS GROUP LIMITED,2009,1.359,-1.355563117,-0.85
MARETERRAM LTD,2009,15.953,-2.480961924,-0.85
PACIFIC DAIRIES LTD,2010,0.773,-0.652552927,-0.85
MEDIVAC LTD,2012,4.648,-0.272883492,-0.85
CANN GLOBAL LTD,2012,7.182,-0.215145174,-0.85
AUSMON RESOURCES LTD,2012,3.659,-0.230620902,-0.85
VOLT POWER GROUP LTD,2013,10.972,-0.758764157,-0.85
VALOR RESOURCES LTD,2015,1.084,-1.224904366,-0.85
WOLLONGONG COAL LTD,2015,756.797,-2.355407102,-0.85
LIFE CORPORATION LTD,2016,7.695,-0.896167483,-0.85
ASRA MINERALS LIMITED,2013,0.3,-2.28815576,-0.848101266
HILLGROVE RESOURCES LTD,2015,198.033,-0.677040195,-0.847860922
TAMBLA LTD,2012,20.485,-0.888653758,-0.847826087
CONNEXION MOBILITY LTD,2017,0.509,,-0.847619048
