Player,DOB,height,weight
"Fitzgerald, Ryan",1976-10-16,199,96
"Robran, Matthew",1971-03-19,194,98
"Jarman, Darren",1967-01-28,186,92
"Vardy, Peter",1976-01-26,181,83
"Eccles, Andrew",1979-06-01,187,84
"Byrne, James",1978-04-23,183,84
"Gallagher, David",1980-08-05,183,84
"Bown, Stuart",1978-08-24,191,90
"Richardson, Adam",1974-08-20,194,102
"OLoughlin, Ricky",1979-07-04,183,84
"Rehn, Shaun",1971-08-17,203,106
"Connell, Matthew",1972-08-03,181,76
"Koster, Kym",1973-02-01,182,79
"Caven, Peter",1970-05-16,190,85
"James, Brett",1972-12-15,176,77
"Thiessen, James",1974-02-10,180,80
"Cicolella, Justin",1978-09-12,178,78
"Ellen, Shane",1973-01-01,188,82
"Jameson, Rod",1970-06-30,185,87
"Liptak, Matthew",1970-04-30,178,79
"Bond, Troy",1973-07-14,179,76
"Ormond-Allen, Trent",1976-06-11,180,82
"Herbert, Lucas",1977-09-13,198,94
"Golding, Matthew",1980-12-30,196,92
"Pittman, David",1969-02-23,201,103
"Atkinson, Brodie",1972-07-31,177,80
"Downsborough, Ian",1972-01-19,192,94
"Howard, Dean",1976-07-29,179,82
"Wintle, Darryl",1976-04-07,179,80
"Rintoul, Chad",1974-07-31,180,86
"Modra, Tony",1969-03-01,188,95
"Stevens, Linden",1978-06-13,186,80
"Cook, Tim",1974-02-20,176,75
"Sampson, Clay",1976-02-24,178,78
"Tregenza, Simon",1971-03-09,182,86
"Cook, Sudjai",1976-06-27,176,79
"Keating, Aaron",1974-05-24,200,102
"Picioane, Lance",1980-06-07,183,89
"Chalmers, Brett",1973-04-23,195,94
"Collins, Matthew",1977-02-02,186,85
"Standfield, Barry",1970-02-13,193,90
"Gilligan, Tom",1978-11-03,198,96
"Williams, Brent",1978-02-13,190,85
"McCartney, Jason",1974-03-14,191,95
"Viska, Mark",1971-04-29,178,85
"McDermott, Chris",1963-11-04,182,92
"McGuinness, Tony",1964-05-06,176,76
"Jarman, Andrew",1966-01-14,177,91
"Tasker, Sean",1968-06-18,188,90
"Fernee, Ashley",1977-06-24,196,84
"Weidemann, Wayne",1966-10-21,182,93
"Kluzek, Matthew",1973-04-03,187,88
"Brown, David",1969-09-29,172,75
"Anderson, Greg",1966-05-14,188,92
"Pesch, Nick",1974-06-25,173,80
"Hodges, Scott",1968-04-26,188,92
"Ross, Jonathan",1973-11-03,193,101
"Maynard, Rodney",1966-09-21,188,80
"Wellman, Sean",1974-09-20,193,90
"Ingerson, Anthony",1969-10-13,193,97
"McKinnon, Martin",1975-07-05,189,94
"Hall, Tony",1964-09-16,183,88
"Lee, Scott",1963-06-05,178,86
"Powell, Matthew",1973-09-27,175,87
"Rowe, Stephen",1965-11-03,178,87
"Schwerdt, Stephen",1968-05-28,178,81
"Wigney, Stuart",1969-04-19,191,99
"Rouvray, Paul",1972-04-18,189,93
"Mail, Joshua",1974-12-18,172,80
"Tongerie, Shane",1971-02-10,184,83
"Turner, Peter",1974-01-23,194,94
"Groom, Chris",1973-08-28,194,95
"Bone, Randall",1973-11-13,194,98
"Sanderson, Brenton",1974-02-27,185,90
"Patterson, Paul",1965-09-28,189,90
"Mickan, Mark",1961-01-30,196,102
"Hart, Darel",1964-01-03,178,80
"Lindner, Bruce",1961-06-20,185,87
"Payze, Andrew",1966-08-25,178,78
"Abernethy, Bruce",1962-05-10,185,86
"Marshall, David",1960-06-30,177,77
"Murphy, Michael",1965-09-08,188,90
"Saliba, Adam",1972-07-14,176,91
"Klug, John",1965-09-28,188,98
"Smith, Darren",1965-02-09,193,90
"Kelly, Matthew",1971-07-02,187,91
"Fielke, Grantley",1962-03-18,178,78
"McIntyre, Peter",1967-01-06,194,90
"Negri, Romano",1964-09-30,204,104
"Hocking, Eddie",1970-01-06,168,68
"Bartlett, Allan",1967-05-23,188,89
"Thompson, Robert",1967-10-22,182,79
"Hughes, Danny",1963-12-04,189,90
"Lindsay, Bruce",1961-07-22,178,77
"Lamb, Clayton",1964-07-01,185,86
"Warhurst, Tom",1963-02-17,192,86
"Merrett, Roger",1960-04-19,195,99
"Ashcroft, Marcus",1971-09-25,184,83
"Champion, Richard",1968-04-14,186,94
"Kennedy, Matthew",1970-02-04,191,98
"Hart, Shaun",1971-05-17,175,74
"White, Darryl",1973-06-12,189,85
"McLean, Michael",1965-03-03,180,84
"Fletcher, Adrian",1969-10-10,178,84
"Lappin, Nigel",1976-06-21,188,87
"McAdam, Gilbert",1967-03-30,180,76
"Scott, Chris",1976-05-03,182,90
"Chapman, Nathan",1975-05-07,189,83
"Scott, Dion",1970-04-01,190,105
"Lambert, Craig",1968-10-05,178,84
"Leppitsch, Justin",1975-10-01,191,97
"Gowers, Andrew",1969-04-11,191,85
"McRae, Craig",1973-09-22,176,72
"Lynch, Alastair",1968-06-19,193,97
"Dickfos, Danny",1970-09-30,188,94
"Lynch, Tristan",1973-08-22,188,80
"Voss, Michael",1975-07-07,183,88
"Akermanis, Jason",1977-02-24,177,85
"McIvor, Scott",1966-08-09,191,87
"Corcoran, Shannon",1971-02-22,182,80
"Robbins, Ben",1976-12-27,181,77
"Bartlett, Trent",1976-11-26,189,95
"Keating, Clark",1976-03-19,197,100
"Bradshaw, Daniel",1978-11-21,191,95
"Bews, Andrew",1964-07-19,175,79
"Green, Brent",1976-03-29,197,94
"Clarke, Troy",1969-06-08,173,74
"Johnson, Troy",1977-07-26,180,75
"Hodges, Shane",1975-01-03,180,72
"Lawrence, Steven",1976-05-19,177,83
"Craven, Danny",1967-05-03,162,68
"Leslie, Martin",1962-11-17,187,90
"Frigo, Rudi",1974-01-31,195,95
"Hamilton, Shane",1970-08-18,183,80
"Starcevich, Craig",1967-05-16,193,96
"Bourke, Damian",1965-01-19,199,98
"Lyon, Ross",1966-11-08,183,78
"Francis, Fabian",1973-10-24,177,87
"Lehmann, Troy",1972-02-25,182,80
"Gastev, John",1964-08-11,180,76
"Peos, Paul",1968-01-28,183,85
"McCormack, Brendan",1970-06-28,187,89
"Bain, David",1966-05-02,176,67
"Buckley, Nathan",1972-07-26,186,91
"Noonan, Danny",1968-11-29,188,88
"Worsfold, Peter",1970-07-11,174,85
"Parker, John",1971-05-17,185,89
"Pearce, Brad",1971-08-16,185,85
"McLuckie, Steven",1973-02-12,174,72
"Spargo, Paul",1966-10-09,182,82
"Heffernan, Martin",1972-08-28,193,82
"Windsor, Ray",1972-08-11,190,87
"Green, Ashley",1973-04-06,189,87
"Alexander, Colin",1970-04-12,178,74
"Campbell, Matthew",1964-01-30,188,93
"Zanotti, Mark",1964-11-08,185,88
"Hutton, John",1966-05-26,185,86
"Palfreyman, Nigel",1973-10-02,186,77
"Retzlaff, Brendon",1969-04-22,180,78
"Potter, Craig",1966-01-19,182,84
"Rendell, Matthew",1959-04-18,200,103
"Kerinaiua, Adam",1974-06-17,178,72
"Schache, Laurence",1967-10-17,194,91
"Owen, Rod",1967-01-31,185,87
"Jeffrey, Russell",1966-02-06,185,79
"Shephard, Heath",1969-09-07,179,73
"Luhrs, Simon",1970-06-18,195,91
"AhMat, Matthew",1974-06-27,175,75
"Wearne, David",1970-05-10,187,82
"Ryan, Matthew",1967-06-02,175,73
"Curran, Peter",1962-07-15,192,89
"Ogg, David",1967-11-23,180,70
"Kidgell, Ian",1970-11-21,203,106
"Hardie, Brad",1962-10-10,181,88
"Cameron, David",1964-04-04,185,79
"Sim, Lachlan",1969-11-24,174,70
"OBrien, Cameron",1966-09-28,190,96
"Ishchenko, Alex",1964-04-20,201,110
"Taylor, Andrew",1965-07-02,187,88
"Bell, Corey",1973-01-24,170,62
"Phillips, Brenton",1962-11-05,180,83
"Gibson, Michael",1965-10-31,187,92
"Rowe, Brad",1969-11-23,174,76
"OKeeffe, David",1962-02-20,189,89
"Dickson, Robert",1963-11-14,182,75
"Lester-Smith, Rod",1959-07-18,188,89
"Strempel, Shane",1969-01-21,199,91
"Reynoldson, Steve",1962-09-06,191,90
"Millar, Jason",1970-08-30,197,101
"Richardson, Michael",1959-03-16,182,82
"Walsh, Phil",1960-03-15,180,80
"Roberts, Mark",1965-06-28,190,92
"Withers, Mark",1964-03-03,175,73
"Eade, Rodney",1958-04-04,183,84
"Carlson, Darren",1967-05-06,180,77
"OSullivan, Chris",1968-04-22,172,69
"Davidson, Peter",1963-08-29,183,80
"Capper, Warwick",1963-06-12,190,93
"Edwards, Bradley",1968-02-22,190,95
"Caton, Kevin",1965-05-10,183,76
"Kennedy, Michael",1967-02-03,175,69
"Umbers, Richard",1968-05-16,190,85
"Solomon, Jonathan",1967-11-14,195,95
"Williams, Mark",1958-08-21,183,80
"Keane, Gavin",1966-03-05,178,76
"Harris, Ben",1963-06-27,188,94
"Harris, Bernie",1962-08-25,175,70
"Raines, Geoff",1956-08-10,180,78
"Banfield, Peter",1965-01-21,177,80
"Dickson, Dale",1962-07-03,180,81
"Hose, Simon",1967-04-13,179,81
"Fidge, John",1966-05-04,182,82
"Waterson, Chris",1961-03-26,183,76
"Dunell, Frank",1958-03-17,185,85
"Simpson, Matthew",1967-04-09,175,73
"McCarthy, Michael",1957-10-10,193,89
"Judge, Ken",1958-01-15,183,82
"Edmond, Jim",1958-09-03,183,89
"Lynn, Tony",1968-04-29,178,78
"Hein, Neil",1963-06-07,199,89
"Garton, Adam",1962-01-17,194,94
"Mace, Robert",1958-08-12,178,93
"Glascott, Stuart",1965-06-06,185,70
"Williams, Stephen",1961-06-05,178,83
"Duursma, Jamie",1963-11-14,190,87
"MacPherson, Rod",1963-09-21,177,80
"Gaghan, Neil",1963-03-24,183,79
"Stacey, Chris",1966-02-21,180,76
"Beckett, Tony",1960-06-26,182,73
"Smith, Peter",1960-01-26,185,85
"Evans, Craig",1965-02-26,175,72
"Shaw, Gary",1959-02-13,173,73
"Buckley, Mark",1962-08-25,190,79
"Giffard, Allan",1963-10-02,188,83
"Norman, Rick",1963-07-25,186,85
"Cox, Darryl",1961-01-26,192,85
"Zorko, Dayne",1989-02-09,175,78
"Andrews, Harris",1996-12-11,201,100
"Lester, Ryan",1992-08-26,192,85
"McCluggage, Hugh",1998-03-03,187,85
"Hipwood, Eric",1997-09-13,204,90
"Berry, Jarrod",1998-02-05,193,89
"McInerney, Oscar",1994-07-10,205,107
"Rayner, Cam",1999-10-21,187,90
"Bailey, Zac",1999-09-23,182,83
"Neale, Lachie",1993-05-24,177,85
"Ah Chee, Callum",1997-10-09,182,78
"Daniher, Joe",1994-03-04,200,99
"Answerth, Noah",1999-08-06,182,82
"Wilmot, Darcy",2003-12-31,183,75
"Dunkley, Josh",1997-01-09,190,88
"McKenna, Conor",1996-03-28,184,88
"Fletcher, Jaspa",2004-02-24,183,76
"Lohmann, Kai",2003-05-06,185,77
"Ashcroft, Will",2004-05-06,182,78
"Sharp, Harry",2002-12-17,183,69
"Morris, Logan",2005-05-10,191,90
"Joyce, Darragh",1997-04-23,195,90
"Starcevich, Brandon",1999-07-24,188,88
"Brain, Shadeau",2004-02-13,183,80
"Prior, Jaxon",2001-06-04,188,79
"Smith, Henry",2002-09-24,206,82
"Reville, Bruce",2001-02-22,185,80
"Payne, Jack",1999-10-15,197,101
"Ryan, Brandon",1997-11-07,200,91
"Gardiner, Darcy",1995-09-22,193,92
"McCarthy, Lincoln",1993-10-22,176,84
"Fort, Darcy",1993-08-06,204,99
"Tunstill, James",2003-07-18,187,75
"Robertson, Deven",2001-06-30,182,80
"Coleman, Keidean",2000-03-31,183,75
"Madden, James",1999-11-15,186,85
"Rich, Daniel",1990-06-07,183,87
"McStay, Daniel",1995-06-24,195,100
"Mathieson, Rhys",1997-01-10,188,87
"Fullarton, Tom",1999-02-23,199,92
"Robinson, Mitch",1989-06-07,184,90
"Adams, Marcus",1993-06-30,192,93
"Cockatoo, Nakia",1996-10-23,186,90
"Michael, Carter",2002-05-22,188,83
"Berry, Tom",2001-05-01,185,76
"Birchall, Grant",1988-01-28,193,89
"Ballenden, Connor",1999-03-29,200,101
"Martin, Stefan",1986-11-17,199,104
"Smith, Archie",1995-07-19,201,102
"Witherden, Alex",1998-09-10,188,85
"Eagles, Matt",1990-02-09,200,99
"Skinner, Sam",1997-06-29,197,94
"Robertson, Nick",1995-06-03,191,98
"Christensen, Allen",1991-05-19,177,80
"Hodge, Luke",1984-06-15,185,92
"Cox, Cedric",1997-08-19,181,79
"Walker, Josh",1992-11-12,197,100
"Allison, Jacob",1998-04-16,193,82
"Taylor, Lewis",1995-02-17,175,80
"Cutler, Tom",1995-02-20,192,92
"Bastinac, Ryan",1991-06-22,186,82
"Beams, Dayne",1990-02-12,187,88
"Barrett, Jake",1995-11-08,184,83
"Mayes, Sam",1994-05-20,189,88
"Bewick, Rohan",1989-10-10,184,83
"Bell, Tom",1991-06-13,188,102
"Rockliff, Tom",1990-02-22,185,85
"Beams, Claye",1991-09-01,182,85
"Close, Michael",1994-07-30,197,98
"Schache, Josh",1997-08-21,199,94
"Jansen, Jarrad",1995-05-02,192,94
"Hammelmann, Matthew",1996-03-08,197,88
"Harwood, Ryan",1991-08-07,184,87
"Paparone, Marco",1994-09-03,194,88
"Dawson, Liam",1996-01-23,188,84
"Frost, Jack",1992-02-25,195,90
"Merrett, Daniel",1984-12-12,195,103
"Hanley, Pearce",1988-11-15,185,86
"Clayton, Josh",1996-01-17,190,80
"Paine, Jackson",1993-06-21,192,95
"Green, Josh",1992-08-24,178,77
"William, Reuben",1997-12-31,189,87
"West, Trent",1987-10-17,199,103
"Freeman, Jonathan",1994-04-27,198,96
"Evans, Billy",1996-10-19,187,87
"Adcock, Jed",1985-11-15,183,83
"Clarke, Justin",1993-11-18,195,93
"OBrien, Zac",1990-10-27,183,78
"McGuane, Luke",1987-02-12,192,90
"Beasley, Hugh",1995-11-12,190,86
"Redden, Jack",1990-12-09,190,85
"Leuenberger, Matthew",1988-06-07,203,103
"Staker, Brent",1984-05-23,196,98
"Aish, James",1995-11-08,183,80
"Bourke, Jordon",1994-11-11,193,88
"Golby, Mitch",1991-10-03,184,84
"Maguire, Matt",1984-05-30,192,101
"McGrath, Jaden",1996-06-15,180,73
"Patfull, Joel",1984-12-07,190,90
"Crisp, Jack",1993-10-02,190,90
"McGrath, Ashley",1983-05-20,183,86
"Brown, Jonathan",1981-10-29,195,103
"Raines, Andrew",1986-03-08,183,82
"Lisle, Jordan",1990-07-12,196,95
"Polkinghorne, James",1989-01-21,184,87
"Moloney, Brent",1984-01-28,181,88
"Yeo, Elliot",1993-10-01,190,89
"Michael, Sam",1993-07-05,199,98
"Docherty, Sam",1993-10-17,187,87
"Black, Simon",1979-04-03,186,81
"OBrien, Jesse",1991-02-13,184,71
"McKeever, Niall",1989-02-16,196,95
"Karnezis, Patrick",1992-04-23,191,88
"Longer, Billy",1993-05-12,202,105
"Cornelius, Aaron",1990-05-29,192,88
"Polec, Jared",1992-10-12,187,84
"Hawksley, James",1989-02-05,187,84
"Buchanan, Amon",1982-10-10,179,83
"Drummond, Josh",1983-04-19,189,88
"Banfield, Todd",1990-06-28,183,83
"Wrigley, Stephen",1987-04-18,187,83
"Stiller, Cheynee",1986-05-03,187,84
"Sheldon, Sam",1989-03-08,184,80
"Retzlaff, Bryce",1991-06-29,195,95
"Power, Luke",1980-01-08,179,78
"Clark, Mitch",1987-10-19,200,103
"Dyson, Josh",1991-08-12,181,71
"Collier, Tom",1989-03-25,192,84
"Austin, Matt",1989-03-30,187,75
"McCauley, Broc",1986-12-20,202,98
"Brennan, Jared",1984-07-28,192,95
"Sherman, Justin",1987-01-26,183,89
"Rischitelli, Michael",1986-01-08,185,84
"Proud, Albert",1988-09-06,180,83
"Selwood, Troy",1984-05-01,187,85
"Johnstone, Travis",1980-07-17,184,83
"Fevola, Brendan",1981-01-20,191,100
"Clarke, Xavier",1983-09-28,182,78
"Notting, Tim",1978-10-21,188,90
"Hooper, Rhan",1988-01-09,177,78
"Roe, Jason",1984-03-13,192,87
"Harding, Scott",1986-06-19,181,82
"Macdonald, Joel",1984-10-10,188,88
"Henderson, Lachie",1989-12-14,196,98
"Dalziell, Bradd",1987-03-15,184,82
"Charman, Jamie",1982-07-16,197,102
"Corrie, Anthony",1984-06-22,186,80
"Clouston, Scott",1987-02-02,193,91
"Copeland, Robert",1981-05-26,187,85
"Moody, Matthew",1985-09-23,187,85
"Begley, Colm",1986-08-31,188,83
"Mills, Wayde",1987-08-29,196,88
"Johnson, Chris",1976-05-30,180,89
"Hadley, Richard",1983-03-29,190,90
"Wood, Cameron",1987-03-04,204,107
"Hamill, Will",1986-07-26,189,74
"Dzufer, Daniel",1988-01-21,188,83
"Allan, Marcus",1986-05-23,180,75
"McDonald, Beau",1979-11-03,203,103
"Fixter, Ben",1981-06-23,180,84
"Scott, Brad",1976-05-03,181,87
"Michael, Mal",1977-06-24,190,100
"Pask, Martin",1985-01-02,191,97
"Attard, Jayden",1986-02-27,187,83
"McLaren, Dylan",1982-05-08,196,98
"Spaanderman, Llane",1986-02-10,198,99
"Baird, Travis",1986-07-25,193,83
"Logan, Tom",1985-07-02,183,83
"Ryswyk, Leigh",1985-01-16,180,74
"Pike, Martin",1972-11-14,189,92
"Caracella, Blake",1977-03-15,186,85
"Pratt, Daniel",1983-03-21,186,88
"Shattock, Aaron",1980-05-02,187,87
"Weller, Luke",1982-01-13,190,93
"Gram, Jason",1984-04-27,186,88
"Morrison, Shane",1981-01-10,193,90
"Headland, Des",1981-01-21,186,91
"Bolton, Craig",1980-05-31,190,87
"Bradshaw, Darren",1980-11-05,185,90
"Picken, Marcus",1979-10-09,186,86
"Knobel, Trent",1980-05-23,204,106
"Cupido, Damian",1982-03-11,184,90
"Clarke, Nathan",1979-10-27,186,80
"Molloy, Jarrod",1976-05-12,189,99
"Voss, Brett",1978-02-22,181,83
"Heuskes, Adam",1976-03-20,190,93
"Martin, Michael",1977-02-25,182,86
"Rusca, Shannon",1980-08-20,182,82
"Carey, Stefan",1976-01-25,197,104
"OBree, Shane",1979-03-15,182,81
"Calthorpe, David",1973-08-17,179,92
"Boyd, Brad",1971-08-10,186,86
"Bamford, Scott",1974-06-23,183,68
"Carter, Nick",1978-04-28,179,86
"Wirth, Derek",1978-11-29,193,94
"Trask, Nick",1978-02-06,175,76
"Hilton, Rory",1979-04-15,186,92
"Clayton, Shane",1978-10-24,186,87
"Barker, John",1975-02-19,194,93
"Cripps, Patrick",1995-03-18,195,92
"Weitering, Jacob",1997-11-23,196,98
"Walsh, Sam",2000-07-02,184,80
"Newman, Nic",1993-01-15,187,83
"Kennedy, Matthew",1997-04-06,188,89
"Saad, Adam",1994-07-23,178,78
"Owies, Matthew",1997-03-19,179,84
"Pittonet, Marc",1996-06-03,202,105
"Hewett, George",1995-12-29,187,84
"Durdin, Corey",2002-04-14,173,73
"Acres, Blake",1995-10-07,191,90
"Kemp, Brodie",2001-05-01,192,82
"Young, Lewis",1998-12-20,197,96
"Hollands, Oliver",2004-01-16,184,72
"Motlop, Jesse",2003-11-23,176,76
"Cincotta, Alex",1996-12-17,187,86
"Cowan, Lachlan",2004-12-01,188,82
"Carroll, Jack",2002-12-20,188,82
"Hollands, Elijah",2002-04-25,189,86
"Fantasia, Orazio",1995-09-14,178,77
"Binns, Jaxon",2004-10-29,183,72
"Lord, Cooper",2005-03-20,184,83
"Moir, Ashton",2005-04-15,188,85
"Williams, Zac",1994-09-20,185,84
"Curnow, Charlie",1997-02-03,192,96
"McKay, Harry",1997-12-24,204,99
"Martin, Jack",1995-01-29,186,83
"Fogarty, Lachie",1999-04-01,180,76
"Boyd, Jordan",1998-09-22,182,80
"Cottrell, Matthew",2000-02-29,181,72
"Cerra, Adam",1999-10-07,188,84
"Cuningham, David",1997-03-30,185,85
"De Koning, Tom",1999-07-16,203,97
"Durdin, Sam",1996-06-06,198,95
"Marchbank, Caleb",1996-12-07,193,90
"Fisher, Zac",1998-06-15,177,75
"Dow, Paddy",1999-10-16,187,83
"Curnow, Ed",1989-11-07,180,85
"Silvagni, Jack",1997-12-17,194,89
"Honey, Josh",2001-10-17,184,79
"OBrien, Lochie",1999-09-18,185,78
"Plowman, Lachie",1994-09-11,193,90
"Setterfield, Will",1998-02-05,192,87
"Newnes, Jack",1993-02-24,186,82
"Stocker, Liam",2000-01-23,184,83
"Hayes, Will",1995-06-05,181,77
"Parks, Luke",2001-04-18,189,93
"McDonald, Oscar",1996-03-18,196,100
"Williamson, Tom",1998-12-12,190,85
"Casboult, Levi",1990-03-15,201,101
"Murphy, Marc",1987-07-19,180,80
"Petrevski-Seton, Sam",1998-02-19,182,78
"Jones, Liam",1991-02-24,199,97
"Gibbons, Michael",1995-05-15,175,75
