team_id,Player,DOB,debut,last
adelaide,"Pedlar, Luke",2002-05-17,2021-07-03,2024-04-27
adelaide,"Parnell, Patrick",2002-03-04,2022-06-04,2024-04-04
adelaide,"Milera, Wayne",1997-09-14,2016-03-26,2024-03-29
adelaide,"Sloane, Rory",1990-03-17,2009-08-14,2023-08-19
adelaide,"McAdam, Shane",1995-05-28,2020-06-28,2023-08-19
adelaide,"Hately, Jackson",2000-10-21,2021-04-25,2023-07-23
adelaide,"Doedee, Tom",1997-03-01,2018-03-23,2023-06-03
adelaide,"Brown, Tyler",1999-12-09,2023-03-19,2023-03-19
adelaide,"Rowe, James",1999-09-17,2021-03-20,2022-08-20
adelaide,"Davis, Ben",1997-05-19,2019-06-28,2022-08-20
adelaide,"Brown, Luke",1992-09-22,2012-07-15,2022-05-28
adelaide,"Frampton, Billy",1996-11-20,2020-03-21,2022-05-08
adelaide,"McPherson, Andrew",1999-06-20,2020-07-11,2022-03-20
adelaide,"Mackay, David",1988-07-25,2008-03-23,2021-08-22
adelaide,"Lynch, Tom",1990-09-15,2012-03-31,2021-08-22
adelaide,"Seedsman, Paul",1992-01-22,2016-03-26,2021-08-22
adelaide,"Kelly, Jake",1995-01-21,2015-04-18,2021-08-15
adelaide,"OConnor, Ronin",2001-02-01,2021-05-16,2021-06-05
adelaide,"Talia, Daniel",1991-10-02,2011-07-02,2020-09-19
adelaide,"Hartigan, Kyle",1991-11-07,2013-07-27,2020-09-19
adelaide,"Crouch, Brad",1994-01-14,2013-04-06,2020-09-19
adelaide,"Stengle, Tyson",1998-10-19,2019-07-13,2020-09-19
adelaide,"Gibbs, Bryce",1989-03-15,2018-03-23,2020-09-13
adelaide,"Poholke, Myles",1998-07-10,2018-04-20,2020-09-01
adelaide,"Crocker, Ben",1997-02-19,2020-06-13,2020-08-23
adelaide,"McAsey, Fischer",2001-03-08,2020-03-21,2020-08-16
adelaide,"Atkins, Rory",1994-07-12,2015-07-19,2020-08-01
adelaide,"Knight, Riley",1995-03-27,2015-07-11,2020-08-01
adelaide,"Douglas, Richard",1987-02-06,2006-08-27,2019-08-25
adelaide,"Jacobs, Sam",1988-04-10,2011-04-23,2019-08-25
adelaide,"Betts, Eddie",1986-11-26,2014-03-20,2019-08-25
adelaide,"Greenwood, Hugh",1992-03-06,2017-05-20,2019-08-25
adelaide,"Keath, Alex",1992-01-20,2017-07-21,2019-08-25
adelaide,"Otten, Andy",1989-05-15,2008-06-14,2019-08-11
adelaide,"Jenkins, Josh",1989-02-08,2012-05-12,2019-07-27
adelaide,"Wilson, Patrick",1994-12-11,2018-06-16,2019-07-27
adelaide,"Gallucci, Jordan",1998-05-04,2017-05-20,2019-07-06
adelaide,"Ellis-Yolmen, Cam",1993-01-28,2014-06-08,2019-06-13
adelaide,"McGovern, Mitch",1994-10-11,2016-03-26,2018-08-25
adelaide,"Cheney, Kyle",1989-08-25,2015-04-05,2018-08-19
adelaide,"Hampton, Curtly",1993-03-10,2017-03-26,2018-07-06
adelaide,"Gibson, Sam",1986-05-27,2018-05-18,2018-06-16
adelaide,"Cameron, Charlie",1994-07-05,2014-05-15,2017-09-30
adelaide,"Lever, Jake",1996-03-05,2015-05-09,2017-09-30
adelaide,"Thompson, Scott",1983-03-14,2005-04-03,2017-07-07
adelaide,"Beech, Jonathon",1990-11-09,2017-06-09,2017-07-01
adelaide,"Menzel, Troy",1994-09-22,2017-03-26,2017-05-13
adelaide,"Lyons, Jarryd",1992-07-22,2012-04-29,2016-09-17
adelaide,"Henderson, Ricky",1988-09-11,2010-04-23,2016-08-26
adelaide,"van Berlo, Nathan",1986-06-06,2005-04-10,2016-05-28
adelaide,"Dangerfield, Patrick",1990-04-05,2008-08-16,2015-09-18
adelaide,"Shaw, Sam",1991-04-05,2012-04-21,2015-08-22
adelaide,"Wright, Matthew",1989-12-14,2011-04-16,2015-08-01
adelaide,"Martin, Brodie",1988-11-06,2009-07-19,2015-07-25
adelaide,"Grigg, Mitch",1993-01-02,2013-07-21,2015-06-06
adelaide,"Kerridge, Sam",1993-04-26,2012-04-15,2015-05-23
adelaide,"Jaensch, Matthew",1989-09-18,2010-05-01,2015-05-16
adelaide,"Rutten, Ben",1983-05-28,2003-07-20,2014-08-31
adelaide,"Reilly, Brent",1983-11-12,2002-07-13,2014-08-31
adelaide,"Podsiadly, James",1981-09-10,2014-03-20,2014-08-31
adelaide,"Thompson, Luke",1991-02-08,2011-04-16,2014-08-23
adelaide,"Porplyzia, Jason",1984-11-27,2006-04-29,2014-07-11
adelaide,"Petrenko, Jared",1989-12-22,2009-03-28,2014-05-03
adelaide,"McKernan, Shaun",1990-09-01,2009-07-04,2014-03-29
adelaide,"Johnston, Lewis",1991-03-03,2012-08-11,2014-03-29
adelaide,"Vince, Bernie",1985-10-02,2006-04-03,2013-08-31
adelaide,"Callinan, Ian",1982-12-20,2011-06-26,2013-08-31
adelaide,"Tambling, Richard",1986-09-12,2011-03-26,2013-08-31
adelaide,"Riley, Aidan",1991-12-13,2011-07-31,2013-07-06
adelaide,"Johncock, Graham",1982-10-21,2002-03-31,2013-04-14
adelaide,"Doughty, Michael",1979-08-05,2000-04-16,2012-09-22
adelaide,"Tippett, Kurt",1987-05-08,2008-03-23,2012-09-22
adelaide,"Knights, Chris",1986-09-25,2005-07-10,2012-08-18
adelaide,"Symes, Brad",1985-03-07,2008-03-23,2012-07-28
adelaide,"McIntyre, Tim",1989-04-09,2012-07-07,2012-07-07
adelaide,"Armstrong, Tony",1989-09-29,2010-03-28,2011-09-03
adelaide,"Gunston, Jack",1991-10-16,2010-05-23,2011-08-28
adelaide,"Maric, Ivan",1986-01-04,2006-05-06,2011-08-14
adelaide,"Moran, Brad",1986-09-29,2008-07-20,2011-07-22
adelaide,"Schmidt, Chris",1989-03-20,2010-04-11,2011-06-26
adelaide,"Sellar, James",1989-03-24,2008-05-03,2011-06-11
adelaide,"Cook, Myke",1989-10-09,2009-03-28,2011-05-29
adelaide,"Davis, Phil",1990-08-30,2010-04-17,2011-04-30
adelaide,"Stevens, Scott",1982-01-15,2004-04-03,2011-04-09
adelaide,"Young, Will",1990-08-03,2010-04-04,2010-08-21
adelaide,"Bock, Nathan",1983-03-20,2004-04-23,2010-08-15
adelaide,"Griffin, Jonathon",1986-01-14,2007-04-01,2010-08-08
adelaide,"McLeod, Andrew",1976-08-04,1995-05-05,2010-07-16
adelaide,"Goodwin, Simon",1976-12-26,1997-03-30,2010-07-16
adelaide,"Edwards, Tyson",1976-08-06,1995-06-10,2010-06-05
adelaide,"Burton, Brett",1978-05-04,1999-03-27,2010-05-09
adelaide,"Hentschel, Trent",1982-12-25,2003-04-13,2010-04-11
adelaide,"Shirley, Robert",1980-06-09,2000-03-25,2009-09-12
adelaide,"Gill, Nick",1982-08-25,2007-07-29,2009-04-12
adelaide,"Bassett, Nathan",1976-12-07,1998-03-28,2008-09-06
adelaide,"Massie, Kris",1980-05-30,2002-04-27,2008-09-06
adelaide,"Campbell, Bryce",1984-09-07,2007-07-29,2008-08-16
adelaide,"Jericho, Luke",1984-10-18,2004-04-17,2008-07-20
adelaide,"McGregor, Ken",1981-01-29,1999-07-04,2008-06-07
adelaide,"Jacky, Jarrhan",1989-04-05,2008-04-19,2008-05-18
adelaide,"Ricciuto, Mark",1975-06-08,1993-04-30,2007-09-08
adelaide,"Welsh, Scott",1978-12-07,2000-03-11,2007-09-08
adelaide,"Torney, Jason",1977-06-16,2003-03-30,2007-09-08
adelaide,"Hudson, Ben",1979-02-24,2004-04-11,2007-09-08
adelaide,"Mattner, Martin",1982-08-06,2002-07-07,2007-08-31
adelaide,"Meesen, John",1986-06-20,2007-08-19,2007-08-25
adelaide,"Perrie, Ian",1979-04-09,1998-06-20,2007-08-12
adelaide,"Hinge, John",1986-06-06,2007-05-05,2007-05-05
adelaide,"Bode, Matthew",1979-06-29,2001-04-07,2007-04-08
adelaide,"Biglands, Rhett",1977-09-04,2000-04-08,2006-09-23
adelaide,"Clarke, Matthew",1973-09-18,2000-03-11,2006-09-23
adelaide,"Hart, Ben",1974-07-09,1992-03-22,2006-08-27
adelaide,"Skipworth, Hayden",1983-02-25,2001-04-01,2006-08-19
adelaide,"Begley, James",1980-07-22,2003-05-17,2005-05-06
adelaide,"Stevens, Mark",1975-10-25,1998-03-28,2005-04-03
adelaide,"Stenglein, Tyson",1980-07-16,1999-05-16,2004-08-29
adelaide,"Ladhams, Chris",1980-10-21,2001-04-01,2004-08-29
adelaide,"Gallagher, James",1979-11-17,2001-06-15,2004-08-07
adelaide,"Watts, Fergus",1985-09-21,2004-06-20,2004-07-24
adelaide,"Smart, Nigel",1969-05-21,1991-03-22,2004-06-20
adelaide,"Carey, Wayne",1971-05-27,2003-03-30,2004-06-12
adelaide,"Schuback, Jacob",1983-11-28,2003-08-15,2004-06-12
adelaide,"Burns, Ronnie",1973-03-13,2003-04-20,2004-05-02
adelaide,"Bickley, Mark",1969-08-04,1991-04-13,2003-09-12
adelaide,"Marsh, Ben",1976-07-09,1998-06-28,2003-06-07
adelaide,"Crowell, Andrew",1977-08-15,2000-03-11,2003-05-25
adelaide,"Schell, Daniel",1980-01-20,2002-03-31,2003-04-13
adelaide,"Johnson, Kane",1978-03-15,1996-07-06,2002-09-21
adelaide,"Beinke, Bryan",1975-08-05,1999-04-03,2002-09-21
adelaide,"Hewitt, Evan",1978-07-07,2001-04-01,2002-09-01
adelaide,"Shir, Matthew",1981-09-12,2001-04-01,2002-08-18
adelaide,"Nelson, Ben",1977-01-23,2002-03-31,2002-07-21
adelaide,"Fitzgerald, Ryan",1976-10-16,2002-03-31,2002-05-19
adelaide,"Robran, Matthew",1971-03-19,1993-04-25,2001-09-08
adelaide,"Jarman, Darren",1967-01-28,1996-03-31,2001-09-08
adelaide,"Vardy, Peter",1976-01-26,1996-07-06,2001-09-08
adelaide,"Eccles, Andrew",1979-06-01,1998-04-05,2001-09-08
adelaide,"Byrne, James",1978-04-23,2000-03-11,2001-09-01
adelaide,"Gallagher, David",1980-08-05,1999-03-27,2001-07-07
adelaide,"Bown, Stuart",1978-08-24,2001-05-06,2001-05-26
adelaide,"Richardson, Adam",1974-08-20,2001-05-12,2001-05-18
adelaide,"OLoughlin, Ricky",1979-07-04,2000-04-08,2001-04-28
adelaide,"Rehn, Shaun",1971-08-17,1991-07-21,2000-08-06
adelaide,"Connell, Matthew",1972-08-03,1995-03-31,2000-08-06
adelaide,"Koster, Kym",1973-02-01,1996-03-31,2000-08-06
adelaide,"Caven, Peter",1970-05-16,1996-03-31,2000-08-06
adelaide,"James, Brett",1972-12-15,1997-03-30,2000-08-06
adelaide,"Thiessen, James",1974-02-10,1998-03-28,2000-07-29
adelaide,"Cicolella, Justin",1978-09-12,2000-03-25,2000-07-29
adelaide,"Ellen, Shane",1973-01-01,1996-03-31,2000-04-01
adelaide,"Jameson, Rod",1970-06-30,1991-03-22,1999-08-29
adelaide,"Liptak, Matthew",1970-04-30,1991-05-17,1999-08-29
adelaide,"Bond, Troy",1973-07-14,1996-03-31,1999-08-29
adelaide,"Ormond-Allen, Trent",1976-06-11,1997-04-05,1999-08-29
adelaide,"Herbert, Lucas",1977-09-13,1999-03-27,1999-08-29
adelaide,"Golding, Matthew",1980-12-30,1999-04-25,1999-08-29
adelaide,"Pittman, David",1969-02-23,1992-07-19,1999-08-15
adelaide,"Atkinson, Brodie",1972-07-31,1999-03-27,1999-08-15
adelaide,"Downsborough, Ian",1972-01-19,1998-04-12,1999-07-04
adelaide,"Howard, Dean",1976-07-29,1999-06-04,1999-06-13
adelaide,"Wintle, Darryl",1976-04-07,1999-04-03,1999-04-17
adelaide,"Rintoul, Chad",1974-07-31,1997-03-30,1998-09-19
adelaide,"Modra, Tony",1969-03-01,1992-04-11,1998-09-05
adelaide,"Stevens, Linden",1978-06-13,1998-08-29,1998-09-05
adelaide,"Cook, Tim",1974-02-20,1997-04-05,1998-08-22
adelaide,"Sampson, Clay",1976-02-24,1997-07-26,1998-08-01
adelaide,"Tregenza, Simon",1971-03-09,1991-03-22,1998-07-24
adelaide,"Cook, Sudjai",1976-06-27,1998-05-23,1998-07-17
adelaide,"Keating, Aaron",1974-05-24,1997-03-30,1998-05-17
adelaide,"Picioane, Lance",1980-06-07,1998-03-28,1998-05-10
adelaide,"Chalmers, Brett",1973-04-23,1994-04-17,1997-08-31
adelaide,"Collins, Matthew",1977-02-02,1996-06-09,1997-08-17
adelaide,"Standfield, Barry",1970-02-13,1997-03-30,1997-07-18
adelaide,"Gilligan, Tom",1978-11-03,1997-04-13,1997-06-28
adelaide,"Williams, Brent",1978-02-13,1997-03-30,1997-05-11
adelaide,"McCartney, Jason",1974-03-14,1995-03-31,1997-05-03
adelaide,"Viska, Mark",1971-04-29,1993-05-30,1997-04-13
adelaide,"McDermott, Chris",1963-11-04,1991-03-22,1996-08-31
adelaide,"McGuinness, Tony",1964-05-06,1991-03-22,1996-08-31
adelaide,"Jarman, Andrew",1966-01-14,1991-03-22,1996-08-31
adelaide,"Tasker, Sean",1968-06-18,1991-06-29,1996-08-31
adelaide,"Fernee, Ashley",1977-06-24,1996-07-28,1996-08-31
adelaide,"Weidemann, Wayne",1966-10-21,1991-07-06,1996-08-17
adelaide,"Kluzek, Matthew",1973-04-03,1994-07-03,1996-08-10
adelaide,"Brown, David",1969-09-29,1991-06-09,1996-07-28
adelaide,"Anderson, Greg",1966-05-14,1993-03-28,1996-07-28
adelaide,"Pesch, Nick",1974-06-25,1994-07-17,1996-07-28
adelaide,"Hodges, Scott",1968-04-26,1991-03-31,1996-06-30
adelaide,"Ross, Jonathan",1973-11-03,1992-04-19,1996-05-25
adelaide,"Maynard, Rodney",1966-09-21,1991-03-22,1995-09-02
adelaide,"Wellman, Sean",1974-09-20,1994-04-30,1995-08-25
adelaide,"Ingerson, Anthony",1969-10-13,1992-03-22,1995-08-13
adelaide,"McKinnon, Martin",1975-07-05,1994-07-10,1995-08-13
adelaide,"Hall, Tony",1964-09-16,1994-03-27,1995-08-13
adelaide,"Lee, Scott",1963-06-05,1991-03-22,1995-07-30
adelaide,"Powell, Matthew",1973-09-27,1993-06-27,1995-07-15
adelaide,"Rowe, Stephen",1965-11-03,1991-04-07,1995-06-24
adelaide,"Schwerdt, Stephen",1968-05-28,1992-04-19,1994-07-31
adelaide,"Wigney, Stuart",1969-04-19,1993-08-21,1994-07-22
adelaide,"Rouvray, Paul",1972-04-18,1992-07-25,1994-06-19
adelaide,"Mail, Joshua",1974-12-18,1994-05-29,1994-06-19
adelaide,"Tongerie, Shane",1971-02-10,1994-04-30,1994-05-29
adelaide,"Turner, Peter",1974-01-23,1994-05-15,1994-05-29
adelaide,"Groom, Chris",1973-08-28,1993-03-28,1994-04-30
adelaide,"Bone, Randall",1973-11-13,1992-04-04,1993-09-11
adelaide,"Sanderson, Brenton",1974-02-27,1992-04-26,1993-08-15
adelaide,"Patterson, Paul",1965-09-28,1991-08-16,1993-05-30
adelaide,"Mickan, Mark",1961-01-30,1991-04-13,1993-05-22
adelaide,"Hart, Darel",1964-01-03,1991-03-22,1992-08-29
adelaide,"Lindner, Bruce",1961-06-20,1991-03-22,1992-08-29
adelaide,"Payze, Andrew",1966-08-25,1991-07-28,1992-08-29
adelaide,"Abernethy, Bruce",1962-05-10,1991-04-07,1992-08-09
adelaide,"Marshall, David",1960-06-30,1991-03-22,1992-07-19
adelaide,"Murphy, Michael",1965-09-08,1991-03-31,1992-07-19
adelaide,"Saliba, Adam",1972-07-14,1992-06-26,1992-07-19
adelaide,"Klug, John",1965-09-28,1991-03-22,1992-06-13
adelaide,"Smith, Darren",1965-02-09,1991-03-22,1992-06-08
adelaide,"Kelly, Matthew",1971-07-02,1991-07-06,1992-05-09
adelaide,"Fielke, Grantley",1962-03-18,1991-03-22,1992-05-02
adelaide,"McIntyre, Peter",1967-01-06,1991-03-22,1992-03-22
adelaide,"Negri, Romano",1964-09-30,1991-03-22,1992-03-22
adelaide,"Hocking, Eddie",1970-01-06,1991-03-22,1991-08-16
adelaide,"Bartlett, Allan",1967-05-23,1991-03-31,1991-08-16
adelaide,"Thompson, Robert",1967-10-22,1991-03-22,1991-08-04
adelaide,"Hughes, Danny",1963-12-04,1991-04-07,1991-06-29
adelaide,"Lindsay, Bruce",1961-07-22,1991-03-22,1991-05-04
adelaide,"Lamb, Clayton",1964-07-01,1991-04-21,1991-04-21
adelaide,"Warhurst, Tom",1963-02-17,1991-03-22,1991-03-31
brisbaneb,"Merrett, Roger",1960-04-19,1988-04-03,1996-09-21
brisbaneb,"Ashcroft, Marcus",1971-09-25,1989-05-26,1996-09-21
brisbaneb,"Champion, Richard",1968-04-14,1991-03-30,1996-09-21
brisbaneb,"Kennedy, Matthew",1970-02-04,1990-04-28,1996-09-21
brisbaneb,"Hart, Shaun",1971-05-17,1990-03-31,1996-09-21
brisbaneb,"White, Darryl",1973-06-12,1992-03-21,1996-09-21
brisbaneb,"McLean, Michael",1965-03-03,1991-03-30,1996-09-21
brisbaneb,"Fletcher, Adrian",1969-10-10,1993-03-27,1996-09-21
brisbaneb,"Clarke, Matthew",1973-09-18,1993-03-27,1996-09-21
brisbaneb,"Lappin, Nigel",1976-06-21,1994-04-09,1996-09-21
brisbaneb,"McAdam, Gilbert",1967-03-30,1994-03-27,1996-09-21
brisbaneb,"Scott, Chris",1976-05-03,1994-03-27,1996-09-21
brisbaneb,"Chapman, Nathan",1975-05-07,1993-03-27,1996-09-21
brisbaneb,"Scott, Dion",1970-04-01,1993-04-11,1996-09-21
brisbaneb,"Lambert, Craig",1968-10-05,1994-03-27,1996-09-21
brisbaneb,"Leppitsch, Justin",1975-10-01,1993-03-27,1996-09-21
brisbaneb,"Gowers, Andrew",1969-04-11,1995-04-01,1996-09-21
brisbaneb,"McRae, Craig",1973-09-22,1995-04-01,1996-09-21
brisbaneb,"Lynch, Alastair",1968-06-19,1994-04-17,1996-09-21
brisbaneb,"Dickfos, Danny",1970-09-30,1996-03-30,1996-09-21
brisbaneb,"Lynch, Tristan",1973-08-22,1996-04-06,1996-09-21
brisbaneb,"Voss, Michael",1975-07-07,1992-07-18,1996-09-14
brisbaneb,"Akermanis, Jason",1977-02-24,1995-04-23,1996-09-14
brisbaneb,"McIvor, Scott",1966-08-09,1988-04-03,1996-08-31
brisbaneb,"Corcoran, Shannon",1971-02-22,1995-05-07,1996-08-31
brisbaneb,"Robbins, Ben",1976-12-27,1996-06-22,1996-08-31
brisbaneb,"Bartlett, Trent",1976-11-26,1995-07-08,1996-08-24
brisbaneb,"Keating, Clark",1976-03-19,1996-05-05,1996-08-17
brisbaneb,"Bradshaw, Daniel",1978-11-21,1996-08-04,1996-08-17
brisbaneb,"Bews, Andrew",1964-07-19,1994-03-27,1996-08-11
brisbaneb,"Green, Brent",1976-03-29,1995-08-20,1996-07-20
brisbaneb,"Clarke, Troy",1969-06-08,1991-03-30,1996-06-29
brisbaneb,"Johnson, Troy",1977-07-26,1996-03-30,1996-04-06
brisbaneb,"Hodges, Shane",1975-01-03,1995-06-11,1995-09-01
brisbaneb,"Lawrence, Steven",1976-05-19,1995-04-16,1995-08-06
brisbaneb,"Craven, Danny",1967-05-03,1993-05-02,1995-07-01
brisbaneb,"Leslie, Martin",1962-11-17,1989-04-01,1995-06-25
brisbaneb,"Frigo, Rudi",1974-01-31,1994-05-29,1995-06-11
brisbaneb,"Hamilton, Shane",1970-08-18,1991-03-30,1995-06-04
brisbaneb,"Starcevich, Craig",1967-05-16,1994-04-03,1995-06-04
brisbaneb,"Bourke, Damian",1965-01-19,1993-06-26,1995-05-14
brisbaneb,"Lyon, Ross",1966-11-08,1995-04-01,1995-04-09
brisbaneb,"Francis, Fabian",1973-10-24,1993-04-02,1994-08-28
brisbaneb,"Lehmann, Troy",1972-02-25,1994-04-03,1994-08-28
brisbaneb,"Gastev, John",1964-08-11,1989-04-01,1994-08-21
brisbaneb,"Peos, Paul",1968-01-28,1993-04-02,1994-08-21
brisbaneb,"McCormack, Brendan",1970-06-28,1993-04-25,1994-04-09
brisbaneb,"Bain, David",1966-05-02,1989-04-01,1993-08-29
brisbaneb,"Buckley, Nathan",1972-07-26,1993-03-27,1993-08-29
brisbaneb,"Noonan, Danny",1968-11-29,1991-04-06,1993-08-21
brisbaneb,"Worsfold, Peter",1970-07-11,1991-04-20,1993-08-21
brisbaneb,"Parker, John",1971-05-17,1993-07-10,1993-08-21
brisbaneb,"Pearce, Brad",1971-08-16,1993-08-08,1993-08-21
brisbaneb,"McLuckie, Steven",1973-02-12,1992-03-28,1993-08-08
brisbaneb,"Spargo, Paul",1966-10-09,1993-04-18,1993-08-08
brisbaneb,"Heffernan, Martin",1972-08-28,1993-06-20,1993-08-08
brisbaneb,"Windsor, Ray",1972-08-11,1990-07-15,1993-08-01
brisbaneb,"Green, Ashley",1973-04-06,1992-04-05,1993-07-03
brisbaneb,"Murphy, Michael",1965-09-08,1993-04-02,1993-06-20
brisbaneb,"Alexander, Colin",1970-04-12,1992-03-21,1993-06-20
brisbaneb,"Campbell, Matthew",1964-01-30,1987-03-27,1993-04-02
brisbaneb,"Zanotti, Mark",1964-11-08,1989-05-26,1992-08-29
brisbaneb,"Hutton, John",1966-05-26,1992-03-21,1992-08-29
brisbaneb,"Palfreyman, Nigel",1973-10-02,1992-03-21,1992-08-29
brisbaneb,"Retzlaff, Brendon",1969-04-22,1992-04-05,1992-08-29
brisbaneb,"Potter, Craig",1966-01-19,1991-05-12,1992-08-29
brisbaneb,"Rendell, Matthew",1959-04-18,1992-05-30,1992-08-29
brisbaneb,"Kerinaiua, Adam",1974-06-17,1992-08-09,1992-08-22
brisbaneb,"Schache, Laurence",1967-10-17,1991-04-14,1992-08-15
brisbaneb,"Owen, Rod",1967-01-31,1992-03-21,1992-08-15
brisbaneb,"Jeffrey, Russell",1966-02-06,1992-05-23,1992-07-31
brisbaneb,"Shephard, Heath",1969-09-07,1992-05-03,1992-06-07
brisbaneb,"Luhrs, Simon",1970-06-18,1991-07-27,1992-05-17
brisbaneb,"AhMat, Matthew",1974-06-27,1991-08-10,1992-05-03
brisbaneb,"Wearne, David",1970-05-10,1990-07-15,1992-04-26
brisbaneb,"Ryan, Matthew",1967-06-02,1991-04-14,1992-03-28
brisbaneb,"Curran, Peter",1962-07-15,1991-03-30,1992-03-28
brisbaneb,"Ogg, David",1967-11-23,1991-03-30,1991-08-31
brisbaneb,"Kidgell, Ian",1970-11-21,1991-08-10,1991-08-31
brisbaneb,"Hardie, Brad",1962-10-10,1987-03-27,1991-08-18
brisbaneb,"Cameron, David",1964-04-04,1991-03-30,1991-08-18
brisbaneb,"Sim, Lachlan",1969-11-24,1989-04-09,1991-08-10
brisbaneb,"OBrien, Cameron",1966-09-28,1987-03-27,1991-08-03
brisbaneb,"Ishchenko, Alex",1964-04-20,1989-04-01,1991-08-03
brisbaneb,"Taylor, Andrew",1965-07-02,1988-04-22,1991-08-03
brisbaneb,"Bell, Corey",1973-01-24,1991-05-26,1991-08-03
brisbaneb,"Phillips, Brenton",1962-11-05,1987-03-27,1991-07-27
brisbaneb,"Gibson, Michael",1965-10-31,1987-06-14,1991-06-23
brisbaneb,"Rowe, Brad",1969-11-23,1990-03-31,1991-06-23
brisbaneb,"OKeeffe, David",1962-02-20,1987-03-27,1991-06-15
brisbaneb,"Dickson, Robert",1963-11-14,1991-06-09,1991-06-15
brisbaneb,"Lester-Smith, Rod",1959-07-18,1988-06-12,1991-05-12
brisbaneb,"Strempel, Shane",1969-01-21,1991-04-20,1991-05-12
brisbaneb,"Reynoldson, Steve",1962-09-06,1987-03-27,1991-04-06
brisbaneb,"Millar, Jason",1970-08-30,1991-03-30,1991-03-30
brisbaneb,"Richardson, Michael",1959-03-16,1987-03-27,1990-09-01
brisbaneb,"Walsh, Phil",1960-03-15,1987-03-27,1990-09-01
brisbaneb,"Roberts, Mark",1965-06-28,1987-03-27,1990-09-01
brisbaneb,"Withers, Mark",1964-03-03,1987-07-05,1990-09-01
brisbaneb,"Eade, Rodney",1958-04-04,1988-04-03,1990-09-01
brisbaneb,"Carlson, Darren",1967-05-06,1987-06-07,1990-09-01
brisbaneb,"OSullivan, Chris",1968-04-22,1989-05-26,1990-09-01
brisbaneb,"Davidson, Peter",1963-08-29,1990-05-05,1990-09-01
brisbaneb,"Capper, Warwick",1963-06-12,1988-04-03,1990-07-22
brisbaneb,"Edwards, Bradley",1968-02-22,1990-03-31,1990-07-22
brisbaneb,"Caton, Kevin",1965-05-10,1990-03-31,1990-07-06
brisbaneb,"Kennedy, Michael",1967-02-03,1988-04-03,1990-06-23
brisbaneb,"Umbers, Richard",1968-05-16,1990-04-28,1990-06-23
brisbaneb,"Solomon, Jonathan",1967-11-14,1990-06-10,1990-06-16
brisbaneb,"Williams, Mark",1958-08-21,1987-03-27,1990-06-10
brisbaneb,"Keane, Gavin",1966-03-05,1990-04-15,1990-06-10
brisbaneb,"Harris, Ben",1963-06-27,1987-04-26,1990-06-02
brisbaneb,"Harris, Bernie",1962-08-25,1987-03-27,1990-05-26
brisbaneb,"Mickan, Mark",1961-01-30,1987-03-27,1990-04-21
